#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_108	7466	10	N	N	2	*	*,108,*
contig_500	7457	8	N	N	2	*	*,500,*
contig_238	7439	6	N	N	1	*	*,238,*
contig_45	7390	8	N	N	1	*	*,45,*
contig_732	7360	5	N	N	1	*	*,732,*
contig_255	7335	4	N	N	1	*	*,255,*
contig_575	7322	8	N	N	1	*	*,575,*
contig_336	7291	11	N	N	1	*	*,336,*
contig_695	7271	9	N	N	2	*	*,695,*
contig_596	7242	14	N	N	1	*	*,596,*
contig_521	7194	6	N	N	1	*	*,521,*
contig_119	7107	7	N	N	1	*	*,119,*
contig_381	7095	9	N	N	1	*	*,381,*
contig_39	7077	6	N	N	1	*	*,39,*
contig_772	7046	7	N	N	1	*	*,772,*
contig_404	7016	685	N	Y	2	*	404
contig_574	6975	12	N	N	2	*	*,574,*
contig_190	6929	8	N	N	1	*	*,190,*
contig_481	6924	6	N	N	1	*	*,481,*
contig_728	6913	13	N	N	1	*	*,728,*
contig_194	6836	9	N	N	1	*	*,194,*
contig_31	6823	8	N	N	1	*	*,31,*
contig_469	6774	7	N	N	1	*	*,469,*
contig_777	6772	5	Y	Y	1	*	777
contig_46	6737	6	N	N	1	*	*,46,*
contig_463	6720	19	N	N	1	*	*,463,*
contig_548	6715	5	N	N	1	*	*,548,*
contig_203	6708	5	N	N	1	*	*,203,*
contig_473	6701	11	N	N	1	*	*,473,*
contig_221	6698	6	N	N	1	*	*,221,*
contig_616	6668	6	N	N	1	*	*,616,*
contig_112	6641	6	N	N	1	*	*,112,*
contig_345	6636	3	N	N	1	*	*,345,*
contig_677	6427	8	N	N	1	*	*,677,*
contig_300	6400	2890	Y	N	8	*	300
contig_179	6381	9	N	N	2	*	*,179,*
contig_70	6373	14	N	N	2	*	*,70,*
contig_24	6352	20	N	Y	1	54	*,24,*
contig_531	6318	10	N	N	1	*	*,531,*
contig_380	6310	5	N	N	1	*	*,380,*
contig_703	6233	5	N	N	1	*	*,703,*
contig_555	6229	14	N	N	3	*	*,555,*
contig_104	6207	7	N	N	1	*	*,104,*
contig_61	6177	9	N	N	1	*	*,61,*
contig_312	6165	72	N	Y	1	60	*,312,*
contig_559	6161	7	N	N	1	*	*,559,*
contig_725	6145	10	N	N	2	*	*,725,*
contig_419	6122	9	N	N	1	*	*,419,*
contig_90	6095	9	N	N	1	*	*,90,*
contig_315	6078	5	N	N	1	*	*,315,*
contig_428	6065	10	N	N	2	*	*,428,*
contig_540	6033	7	N	N	1	*	*,540,*
contig_91	6032	707	N	Y	2	58	*,91,*
contig_325	6017	8	N	N	1	*	*,325,*
contig_135	6006	8	N	N	1	*	*,135,*
contig_173	5991	8	N	N	1	*	*,173,*
contig_292	5923	8	N	N	2	*	*,292,*
contig_688	5880	7	N	N	1	*	*,688,*
contig_391	5875	6	N	N	1	*	*,391,*
contig_401	5842	11	N	N	1	*	*,401,*
contig_676	5841	5	N	N	1	*	*,676,*
contig_704	5841	6	N	N	1	*	*,704,*
contig_335	5824	3	N	N	1	*	*,335,*
contig_111	5790	5	N	N	1	*	*,111,*
contig_434	5773	8	N	N	1	*	*,434,*
contig_29	5741	10	N	N	2	*	*,29,*
contig_600	5726	6	N	N	1	*	*,600,*
contig_282	5725	4	N	N	1	*	*,282,*
contig_48	5718	7	N	N	1	*	*,48,*
contig_520	5681	8	N	N	1	*	*,520,*
contig_634	5675	5	N	N	1	*	*,634,*
contig_150	5668	4	N	N	1	*	*,150,*
contig_349	5632	19	N	N	2	*	*,349,*
contig_610	5630	10	N	N	2	*	*,610,*
contig_681	5616	12	N	N	2	*	*,681,*
contig_552	5609	9	N	N	1	*	*,552,*
contig_624	5593	7	N	N	1	*	*,624,*
contig_157	5589	10	N	N	2	*	*,157,*
contig_708	5589	5	N	N	1	*	*,708,*
contig_509	5582	5	N	N	1	*	*,509,*
contig_593	5573	17	N	N	2	*	*,593,*
contig_241	5555	10	N	N	1	*	*,241,*
contig_166	5554	5	N	N	1	*	*,166,*
contig_262	5547	6	N	N	1	*	*,262,*
contig_557	5532	9	N	N	2	*	*,557,*
contig_653	5532	7	N	N	1	*	*,653,*
contig_550	5527	10	N	N	2	*	*,550,*
contig_442	5519	11	N	N	1	*	*,442,*
contig_604	5480	12	N	N	2	*	*,604,*
contig_727	5453	26	N	N	2	*	*,727,*
contig_508	5419	7	N	N	1	*	*,508,*
contig_93	5411	7	N	N	1	*	*,93,*
contig_79	5406	10	N	N	2	*	*,79,*
contig_472	5402	9	N	N	1	*	*,472,*
contig_660	5393	11	N	N	1	*	*,660,*
contig_589	5383	9	N	N	1	*	*,589,*
contig_131	5375	11	N	N	1	*	*,131,*
contig_608	5369	9	N	N	1	*	*,608,*
contig_482	5365	7	N	N	1	*	*,482,*
contig_259	5363	7	N	N	1	*	*,259,*
contig_223	5338	10	N	N	2	*	*,223,*
contig_171	5304	7	N	N	1	*	*,171,*
contig_654	5291	10	N	N	1	*	*,654,*
contig_644	5282	10	N	N	2	*	*,644,*
contig_658	5282	10	N	N	1	*	*,658,*
contig_137	5276	7	N	N	1	*	*,137,*
contig_321	5261	8	N	N	2	*	*,321,*
contig_313	5257	7	N	N	1	*	*,313,*
contig_479	5253	6	N	N	1	*	*,479,*
contig_366	5229	26	N	N	1	*	*,366,*
contig_129	5225	20	N	N	3	*	*,129,*
contig_707	5222	12	N	N	1	*	*,707,*
contig_457	5214	7	N	N	1	*	*,457,*
contig_56	5205	7	N	N	1	*	*,56,*
contig_522	5187	14	N	N	2	*	*,522,*
contig_447	5181	9	N	N	1	*	*,447,*
contig_67	5176	5	N	N	1	*	*,67,*
contig_152	5163	4	N	N	1	*	*,152,*
contig_503	5154	9	N	N	1	*	*,503,*
contig_773	5120	16	N	N	1	*	*,773,*
contig_178	5118	6	N	N	1	*	*,178,*
contig_590	5115	10	N	N	1	*	*,590,*
contig_355	5082	6	N	N	1	*	*,355,*
contig_274	5074	12	N	N	1	*	*,274,*
contig_666	5063	10	N	N	2	*	*,666,*
contig_156	5050	5	N	N	1	*	*,156,*
contig_675	5048	9	N	N	1	*	*,675,*
contig_438	5045	6	N	N	1	*	*,438,*
contig_316	5038	9	N	N	1	*	*,316,*
contig_535	5027	15	N	N	2	*	*,535,*
contig_474	4974	5	N	N	1	*	*,474,*
contig_403	4968	4	N	N	1	*	*,403,*
contig_504	4965	12	N	N	1	*	*,504,*
contig_341	4955	8	N	N	2	*	*,341,*
contig_369	4954	42	N	N	3	*	*,369,*
contig_599	4943	6	N	N	1	*	*,599,*
contig_326	4926	4	N	N	1	*	*,326,*
contig_332	4922	8	N	N	1	*	*,332,*
contig_298	4901	11	N	N	2	*	*,298,*
contig_14	4874	5	N	N	1	*	*,14,*
contig_144	4866	9	N	N	1	*	*,144,*
contig_619	4858	10	N	N	1	*	*,619,*
contig_33	4856	13	N	N	1	*	*,33,*
contig_502	4844	7	N	N	1	*	*,502,*
contig_51	4823	5	N	N	1	*	*,51,*
contig_393	4822	8	N	N	1	*	*,393,*
contig_523	4816	5	N	N	1	*	*,523,*
contig_532	4813	10	N	N	1	*	*,532,*
contig_181	4804	4	N	N	1	*	*,181,*
contig_454	4779	8	N	N	1	*	*,454,*
contig_49	4739	9	N	N	1	*	*,49,*
contig_641	4737	5	N	N	1	*	*,641,*
contig_456	4707	8	N	N	1	*	*,456,*
contig_696	4683	6	N	N	1	*	*,696,*
contig_59	4671	13	N	N	2	*	*,59,*
contig_74	4666	8	N	N	1	*	*,74,*
contig_491	4654	10	N	N	2	*	*,491,*
contig_285	4653	8	N	N	1	*	*,285,*
contig_516	4646	7	N	N	1	*	*,516,*
contig_722	4638	8	N	N	1	*	*,722,*
contig_198	4632	11	N	N	1	*	*,198,*
contig_209	4629	8	N	N	2	*	*,209,*
contig_76	4628	8	N	N	1	*	*,76,*
contig_110	4583	8	N	N	1	*	*,110,*
contig_622	4581	4	N	N	1	*	*,622,*
contig_402	4578	8	N	N	1	*	*,402,*
contig_40	4564	5	N	N	1	*	*,40,*
contig_426	4557	6	N	N	1	*	*,426,*
contig_379	4548	9	N	N	2	*	*,379,*
contig_84	4527	8	N	N	2	*	*,84,*
contig_639	4521	9	N	N	2	*	*,639,*
contig_594	4520	9	N	N	1	*	*,594,*
contig_134	4499	8	N	N	1	*	*,134,*
contig_200	4490	8	N	N	1	*	*,200,*
contig_530	4490	4	N	N	1	*	*,530,*
contig_420	4487	8	N	N	2	*	*,420,*
contig_682	4477	4	N	N	1	*	*,682,*
contig_47	4445	7	N	N	1	*	*,47,*
contig_265	4438	3	N	N	1	*	*,265,*
contig_261	4425	13	N	N	1	*	*,261,*
contig_585	4416	8	N	N	1	*	*,585,*
contig_638	4410	12	N	N	1	*	*,638,*
contig_163	4407	3	N	N	1	*	*,163,*
contig_12	4398	7	N	N	1	*	*,12,*
contig_592	4396	5	N	N	1	*	*,592,*
contig_114	4384	6	N	N	1	*	*,114,*
contig_143	4360	4	N	N	1	*	*,143,*
contig_365	4353	4	N	N	1	*	*,365,*
contig_603	4331	8	N	N	1	*	*,603,*
contig_570	4320	7	N	N	1	*	*,570,*
contig_130	4316	7	N	N	1	*	*,130,*
contig_562	4315	8	N	N	1	*	*,562,*
contig_317	4308	10	N	N	2	*	*,317,*
contig_254	4306	9	N	N	1	*	*,254,*
contig_146	4303	5	N	N	1	*	*,146,*
contig_437	4298	4	N	N	1	*	*,437,*
contig_65	4278	5	N	N	1	*	*,65,*
contig_440	4276	10	N	N	1	*	*,440,*
contig_529	4237	5	N	N	1	*	*,529,*
contig_218	4215	10	N	N	1	*	*,218,*
contig_232	4215	8	N	N	1	*	*,232,*
contig_443	4205	11	N	N	1	*	*,443,*
contig_620	4204	7	N	N	1	*	*,620,*
contig_485	4199	4	N	N	1	*	*,485,*
contig_213	4185	4	N	N	1	*	*,213,*
contig_305	4183	4	N	N	1	*	*,305,*
contig_207	4167	10	N	N	1	*	*,207,*
contig_296	4161	4	N	N	1	*	*,296,*
contig_85	4136	6	N	N	1	*	*,85,*
contig_54	4133	5	N	N	1	*	*,54,*
contig_333	4129	10	N	N	2	*	*,333,*
contig_68	4117	5	N	N	1	*	*,68,*
contig_636	4112	5	N	N	1	*	*,636,*
contig_126	4094	6	N	N	1	*	*,126,*
contig_165	4087	8	N	N	1	*	*,165,*
contig_689	4076	8	N	N	1	*	*,689,*
contig_452	4071	9	N	N	1	*	*,452,*
contig_206	4068	4	N	N	1	*	*,206,*
contig_568	4066	10	N	N	2	*	*,568,*
contig_493	4062	5	N	N	1	*	*,493,*
contig_451	4052	9	N	N	2	*	*,451,*
contig_685	4051	8	N	N	1	*	*,685,*
contig_83	4023	10	N	N	1	*	*,83,*
contig_645	4011	10	N	N	2	*	*,645,*
contig_625	3995	4	N	N	1	*	*,625,*
contig_368	3994	6	N	N	1	*	*,368,*
contig_147	3982	8	N	N	2	*	*,147,*
contig_573	3980	10	N	N	1	*	*,573,*
contig_125	3978	9	N	N	2	*	*,125,*
contig_27	3969	21	N	N	2	*	*,27,*
contig_526	3942	8	N	N	1	*	*,526,*
contig_267	3927	3	N	N	1	*	*,267,*
contig_412	3916	622	N	Y	2	56	*,412,*
contig_623	3897	10	N	N	2	*	*,623,*
contig_684	3894	5	N	N	1	*	*,684,*
contig_525	3889	4	N	N	1	*	*,525,*
contig_661	3865	4	N	N	1	*	*,661,*
contig_489	3863	9	N	N	1	*	*,489,*
contig_118	3849	8	N	N	2	*	*,118,*
contig_629	3848	17	N	N	2	*	*,629,*
contig_189	3839	9	N	N	2	*	*,189,*
contig_266	3807	7	N	N	1	*	*,266,*
contig_413	3802	20	N	Y	1	56	*,413,*
contig_714	3802	6	N	N	1	*	*,714,*
contig_647	3792	10	N	N	2	*	*,647,*
contig_690	3769	11	N	N	2	*	*,690,*
contig_492	3768	7	N	N	1	*	*,492,*
contig_228	3758	5	N	N	1	*	*,228,*
contig_43	3738	7	N	N	1	*	*,43,*
contig_606	3738	6	N	N	1	*	*,606,*
contig_659	3717	6	N	N	1	*	*,659,*
contig_565	3697	8	N	N	2	*	*,565,*
contig_400	3695	15	N	N	1	*	*,400,*
contig_475	3675	7	N	N	1	*	*,475,*
contig_441	3673	9	N	N	1	*	*,441,*
contig_222	3671	5	N	N	1	*	*,222,*
contig_214	3670	5	N	N	1	*	*,214,*
contig_318	3663	6	N	N	1	*	*,318,*
contig_374	3652	5	N	N	1	*	*,374,*
contig_304	3650	7	N	N	1	*	*,304,*
contig_436	3641	3	N	N	1	*	*,436,*
contig_226	3590	10	N	N	2	*	*,226,*
contig_217	3589	7	N	N	1	*	*,217,*
contig_758	3589	3	N	N	1	*	*,758,*
contig_712	3571	6	N	N	1	*	*,712,*
contig_470	3558	14	N	N	2	*	*,470,*
contig_211	3557	11	N	N	2	*	*,211,*
contig_671	3555	6	N	N	1	*	*,671,*
contig_524	3554	16	N	N	1	*	*,524,*
contig_17	3547	7	N	N	1	*	*,17,*
contig_586	3540	9	N	N	1	*	*,586,*
contig_466	3520	19	N	N	2	*	*,466,*
contig_534	3520	4	N	N	1	*	*,534,*
contig_657	3519	7	N	N	1	*	*,657,*
contig_505	3515	11	N	N	1	*	*,505,*
contig_288	3507	5	N	N	1	*	*,288,*
contig_449	3502	4	N	N	1	*	*,449,*
contig_113	3477	10	N	N	2	*	*,113,*
contig_680	3451	5	N	N	1	*	*,680,*
contig_35	3448	8	N	N	1	*	*,35,*
contig_686	3436	5	N	N	1	*	*,686,*
contig_18	3434	7	N	N	1	*	*,18,*
contig_605	3427	6	N	N	1	*	*,605,*
contig_435	3400	4	N	N	1	*	*,435,*
contig_158	3397	6	N	N	1	*	*,158,*
contig_560	3396	5	N	N	1	*	*,560,*
contig_496	3395	4	N	N	1	*	*,496,*
contig_385	3392	6	N	N	1	*	*,385,*
contig_196	3387	10	N	N	2	*	*,196,*
contig_52	3386	4	N	N	1	*	*,52,*
contig_204	3377	5	N	N	1	*	*,204,*
contig_302	3369	5	N	N	1	*	*,302,*
contig_164	3366	5	N	N	1	*	*,164,*
contig_376	3363	9	N	N	2	*	*,376,*
contig_561	3360	11	N	N	1	*	*,561,*
contig_331	3359	7	N	N	1	*	*,331,*
contig_183	3332	5	N	N	1	*	*,183,*
contig_554	3332	7	N	N	1	*	*,554,*
contig_618	3332	9	N	N	1	*	*,618,*
contig_640	3321	9	N	N	1	*	*,640,*
contig_501	3302	5	N	N	1	*	*,501,*
contig_73	3298	7	N	N	1	*	*,73,*
contig_86	3260	4	N	N	1	*	*,86,*
contig_750	3257	8	N	N	1	*	*,750,*
contig_753	3253	6	N	N	1	*	*,753,*
contig_362	3244	12	N	N	2	*	*,362,363,*
contig_646	3242	6	N	N	1	*	*,646,*
contig_633	3234	14	N	N	1	*	*,633,*
contig_278	3228	8	N	N	1	*	*,278,*
contig_324	3223	6	N	N	1	*	*,324,*
contig_431	3210	5	N	N	1	*	*,431,*
contig_667	3202	9	N	N	1	*	*,667,*
contig_537	3169	7	N	N	1	*	*,537,*
contig_81	3165	4	N	N	1	*	*,81,*
contig_683	3164	6	N	N	1	*	*,683,*
contig_494	3163	6	N	N	1	*	*,494,*
contig_709	3161	3	N	N	1	*	*,709,*
contig_66	3160	9	N	N	2	*	*,66,*
contig_60	3156	4	N	N	1	*	*,60,*
contig_268	3150	7	N	N	1	*	*,268,*
contig_80	3149	3	N	N	1	*	*,80,*
contig_235	3144	3	N	N	1	*	*,235,*
contig_105	3130	9	N	N	1	*	*,105,*
contig_109	3111	8	N	N	1	*	*,109,*
contig_342	3110	6	N	N	1	*	*,342,*
contig_283	3108	7	N	N	1	*	*,283,*
contig_28	3102	7	N	N	1	*	*,28,*
contig_356	3093	7	N	N	1	*	*,356,*
contig_170	3089	7	N	N	1	*	*,170,*
contig_382	3076	3	N	N	1	*	*,382,*
contig_177	3071	8	N	N	2	*	*,177,*
contig_679	3060	14	N	N	2	*	*,679,*
contig_564	3057	3	N	N	1	*	*,564,*
contig_237	3054	7	N	N	1	*	*,237,*
contig_637	3039	8	N	N	1	*	*,637,*
contig_323	3038	3	N	N	1	*	*,323,*
contig_63	3034	7	N	N	1	*	*,63,*
contig_151	3033	8	N	N	1	*	*,151,*
contig_260	3028	4	N	N	1	*	*,260,*
contig_293	2994	6	N	N	1	*	*,293,*
contig_507	2980	5	N	N	1	*	*,507,*
contig_421	2976	11	N	N	2	*	*,421,*
contig_651	2974	4	N	N	1	*	*,651,*
contig_665	2968	9	N	N	1	*	*,665,*
contig_322	2965	7	N	N	1	*	*,322,*
contig_572	2965	6	N	N	1	*	*,572,*
contig_307	2964	9	N	N	2	*	*,307,*
contig_544	2963	11	N	N	2	*	*,544,*
contig_149	2958	14	N	N	2	*	*,149,*
contig_263	2946	3	N	N	1	*	*,263,*
contig_551	2942	7	N	N	1	*	*,551,*
contig_545	2939	9	N	N	1	*	*,545,*
contig_279	2924	8	N	N	2	*	*,279,*
contig_185	2923	7	N	N	1	*	*,185,*
contig_212	2912	5	N	N	1	*	*,212,*
contig_101	2900	8	N	N	1	*	*,101,*
contig_581	2900	5	N	N	1	*	*,581,*
contig_57	2898	5	N	N	1	*	*,57,*
contig_584	2898	8	N	N	2	*	*,584,*
contig_199	2889	6	N	N	1	*	*,199,*
contig_370	2886	10	N	N	1	*	*,370,*
contig_650	2886	3	N	N	1	*	*,650,*
contig_19	2884	3	N	N	1	*	*,19,*
contig_115	2883	9	N	N	1	*	*,115,*
contig_497	2880	6	N	N	1	*	*,497,*
contig_607	2870	7	N	N	1	*	*,607,*
contig_297	2868	8	N	N	2	*	*,297,*
contig_37	2860	5	N	N	1	*	*,37,*
contig_498	2860	9	N	N	1	*	*,498,*
contig_511	2850	7	N	N	1	*	*,511,*
contig_78	2848	23	N	N	1	*	*,78,*
contig_387	2846	8	N	N	1	*	*,387,*
contig_384	2845	9	N	N	2	*	*,384,*
contig_514	2843	11	N	N	1	*	*,514,*
contig_69	2843	10	N	N	2	*	*,69,*
contig_301	2830	7	N	N	1	*	*,301,*
contig_459	2826	13	N	N	2	*	*,459,*
contig_42	2823	7	N	N	1	*	*,42,*
contig_423	2819	10	N	N	2	*	*,423,*
contig_20	2810	9	N	N	1	*	*,20,*
contig_36	2806	10	N	N	2	*	*,36,*
contig_569	2803	10	N	N	1	*	*,569,*
contig_609	2803	7	N	N	1	*	*,609,*
contig_208	2798	8	N	N	1	*	*,208,*
contig_630	2796	10	N	N	2	*	*,630,*
contig_249	2794	11	N	N	2	*	*,249,*
contig_538	2794	9	N	N	2	*	*,538,*
contig_626	2789	6	N	N	1	*	*,626,*
contig_571	2788	6	N	N	1	*	*,571,*
contig_176	2782	7	N	N	1	*	*,176,*
contig_136	2780	6	N	N	1	*	*,136,*
contig_159	2777	5	N	N	1	*	*,159,*
contig_422	2777	9	N	N	1	*	*,422,*
contig_670	2775	8	N	N	2	*	*,670,*
contig_394	2768	30	N	Y	1	62	*,394
contig_567	2765	10	N	N	1	*	*,567,*
contig_424	2754	4	N	N	1	*	*,424,*
contig_547	2746	9	N	N	1	*	*,547,*
contig_757	2746	20	N	N	1	*	*,757,*
contig_243	2739	5	N	N	1	*	*,243,*
contig_627	2737	10	N	N	1	*	*,627,*
contig_247	2735	5	N	N	1	*	*,247,*
contig_588	2724	11	N	N	1	*	*,588,*
contig_372	2718	7	N	N	1	*	*,372,*
contig_373	2712	7	N	N	1	*	*,373,*
contig_613	2708	5	N	N	1	*	*,613,*
contig_201	2700	6	N	N	1	*	*,201,*
contig_58	2692	12	N	N	3	*	*,58,*
contig_16	2689	7	N	N	1	*	*,16,*
contig_117	2681	8	N	N	2	*	*,117,*
contig_649	2674	7	N	N	1	*	*,649,*
contig_107	2663	6	N	N	1	*	*,107,*
contig_72	2663	8	N	N	1	*	*,72,*
contig_669	2662	5	N	N	1	*	*,669,*
contig_210	2661	6	N	N	1	*	*,210,*
contig_553	2658	9	N	N	1	*	*,553,*
contig_462	2651	18	N	N	3	*	*,462,*
contig_543	2645	9	N	N	2	*	*,543,*
contig_517	2639	11	N	N	1	*	*,517,*
contig_563	2636	3	N	N	1	*	*,563,*
contig_533	2633	6	N	N	1	*	*,533,*
contig_673	2632	5	N	N	1	*	*,673,*
contig_62	2630	13	N	N	2	*	*,62,*
contig_272	2614	9	N	N	2	*	*,272,*
contig_702	2611	7	N	N	1	*	*,702,*
contig_308	2604	8	N	N	2	*	*,308,*
