sample	bin	completeness_checkm2	contamination_checkm2	genome_size	contig_n50	is_circular	n_contigs	bakta_trna_all	bakta_trna_uniq	bakta_16s	bakta_23s	bakta_5s	bakta_16s_len	bakta_23s_len	bakta_5s_len	barrnap_16s	barrnap_23s	barrnap_5s	barrnap_16s_len	barrnap_23s_len	barrnap_5s_len	custom_trna_uniq	ssu_16s_len	ssu_23s_len	ssu_5s_len	operon	mimag	sample_barcode	classification	domain	phylum	class	order	family	genus	species	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	batch_id
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.13	73.27	3.53	2919881	13001	FALSE	271	37	16	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter intestini	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__Butyribacter intestini	GCF_001414325.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter intestini	97.89	0.798	GCF_001414325.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter intestini	97.89	0.798	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_018918235.1, s__Butyribacter sp018918235, 95.0, 84.69, 0.194; GCA_934320895.1, s__Butyribacter sp934320895, 95.0, 83.46, 0.153	65.15	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.134	68.12	3.59	2835354	53556	FALSE	84	41	19	3	3	3	1533	2879	118	3	3	3	1530	2875	96	18	1533	2879	118	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus;s__Hominisplanchenecus faecis	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hominisplanchenecus	s__Hominisplanchenecus faecis	GCF_020687205.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus;s__Hominisplanchenecus faecis	97.58	0.796	GCF_020687205.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus;s__Hominisplanchenecus faecis	97.58	0.796	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905214675.1, s__Hominisplanchenecus sp905214675, 95.0, 87.66, 0.345; GCA_900551235.1, s__Hominisplanchenecus sp900551235, 95.0, 87.56, 0.401	49.6	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.14	80.41	3.81	2905289	55679	FALSE	88	38	15	7	6	5	1504	2898	117	7	6	5	1501	2894	98	14	1504	2898	117	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Romboutsia	s__Romboutsia timonensis	GCF_900106845.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	98.51	0.81	GCF_900106845.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	98.51	0.81	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900015215.1, s__Romboutsia ilealis, 95.0, 91.49, 0.659; GCA_937880075.1, s__Romboutsia sp937880075, 95.0, 91.38, 0.527; GCF_904418825.1, s__Romboutsia sp904418825, 95.0, 90.19, 0.571; GCF_018336475.1, s__Romboutsia sp018336475, 95.0, 86.15, 0.46	83.82	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.145	84.94	5.67	2667233	25010	FALSE	161	39	20	1	1	2	1507	2825	117	1	1	2	1503	2820	112	21	1507	2825	117	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp000433635	GCA_000433635.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635	97.01	0.805	GCA_000433635.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635	97.01	0.805	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902464115.1, s__Ruminococcus_C sp902464115, 95.0, 94.34, 0.731	79.59	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.15	55.1	2.12	2511500	21225	FALSE	157	37	16	1	1	1	1531	2883	118	1	1	0	1527	2879	0	16	1531	2883	118	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Gallintestinimicrobium	s__Gallintestinimicrobium propionicum	GCF_025567525.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum	97.92	0.861	GCF_025567525.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum	97.92	0.861	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	37.09	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.16	84.61	6	1812224	23310	FALSE	113	50	21	2	2	3	1536	2837	116	2	2	3	1533	2834	109	22	1536	2837	116	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp000434995	GCA_000434995.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	98.37	0.882	GCA_000434995.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	98.37	0.882	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963661525.1, s__Eubacterium_R sp963661525, 95.0, 94.28, 0.649; GCA_000436835.1, s__Eubacterium_R sp000436835, 95.0, 83.24, 0.357; GCA_945874765.1, s__Eubacterium_R sp945874765, 95.0, 82.69, 0.332; GCA_900540235.1, s__Eubacterium_R sp900540235, 95.0, 81.75, 0.233; GCA_963657005.1, s__Eubacterium_R sp963657005, 95.0, 81.67, 0.226	75.38	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.18	57.82	1.86	2061456	20119	FALSE	129	41	21	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum butyriciproducens	GCF_003096535.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	97.51	0.828	GCF_003096535.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	97.51	0.828	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963661675.1, s__Agathobaculum sp963661675, 95.0, 89.66, 0.587; GCF_934504345.1, s__Agathobaculum sp934504345, 95.0, 86.96, 0.425; GCF_014288055.1, s__Agathobaculum hominis, 95.0, 82.58, 0.177	43.17	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.2	73.25	3.06	4634504	32276	FALSE	215	47	19	0	0	1	0	0	111	0	0	1	0	0	107	19	0	0	111	0	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides thetaiotaomicron	GCF_000011065.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	98.27	0.822	GCF_000011065.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	98.27	0.822	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019412825.1, s__Bacteroides thetaiotaomicron_A, 95.0, 95.09, 0.739; GCA_947646015.1, s__Bacteroides sp947646015, 95.0, 95.03, 0.336; GCA_948847595.1, s__Bacteroides sp948847595, 95.0, 90.43, 0.361; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 90.11, 0.324; GCF_900106755.1, s__Bacteroides faecis, 95.0, 88.66, 0.582; GCA_947038155.1, s__Bacteroides sp947038155, 95.0, 87.09, 0.301; GCF_900761785.1, s__Bacteroides sp900761785, 95.0, 85.34, 0.229; GCF_034291875.1, s__Bacteroides vicugnae, 95.0, 82.01, 0.187; GCF_002222615.2, s__Bacteroides caccae, 95.0, 81.66, 0.171; GCF_958387885.1, s__Bacteroides sp019412865, 95.22, 81.63, 0.16; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 81.47, 0.181; GCA_019117555.1, s__Bacteroides intestinigallinarum, 95.0, 81.38, 0.172; GCF_000210075.1, s__Bacteroides xylanisolvens, 95.0, 81.33, 0.159; GCF_009193295.2, s__Bacteroides luhongzhouii, 95.0, 81.15, 0.173; GCF_014750685.1, s__Bacteroides sp014750685, 95.0, 80.97, 0.165; GCF_012113595.1, s__Bacteroides faecium, 95.0, 80.74, 0.165	58.84	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.22	71.88	7.28	4643866	38989	FALSE	168	53	20	1	3	3	1531	2885	111	1	3	3	1527	2875	106	19	1531	2885	111	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vicugnae	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides vicugnae	GCF_034291875.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vicugnae	98.87	0.811	GCF_034291875.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vicugnae	98.87	0.811	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019117555.1, s__Bacteroides intestinigallinarum, 95.0, 94.15, 0.607; GCF_958387885.1, s__Bacteroides sp019412865, 95.22, 93.85, 0.577; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 92.01, 0.616; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 89.27, 0.323; GCF_009193295.2, s__Bacteroides luhongzhouii, 95.0, 89.08, 0.532; GCF_000210075.1, s__Bacteroides xylanisolvens, 95.0, 89.0, 0.517; GCF_041227145.1, s__Bacteroides sp041227145, 95.0, 87.19, 0.35; GCA_948742525.1, s__Bacteroides caecimuris_A, 95.0, 86.55, 0.329; GCF_001688725.2, s__Bacteroides caecimuris, 95.89, 86.09, 0.327; GCF_009193325.2, s__Bacteroides zhangwenhongii, 95.83, 84.84, 0.257; GCA_030295565.1, s__Bacteroides finegoldii, 95.0, 83.97, 0.231; GCF_024623065.1, s__Bacteroides acidifaciens, 95.0, 83.44, 0.222; GCF_014750685.1, s__Bacteroides sp014750685, 95.0, 83.43, 0.311; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 83.18, 0.286; GCF_012113595.1, s__Bacteroides faecium, 95.0, 83.14, 0.289; GCA_947038155.1, s__Bacteroides sp947038155, 95.0, 83.09, 0.212; GCF_903181435.1, s__Bacteroides sp900765785, 95.0, 82.76, 0.226; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 82.76, 0.199; GCF_902491285.1, s__Bacteroides sp902491285, 95.0, 82.41, 0.23; GCF_002222615.2, s__Bacteroides caccae, 95.0, 82.29, 0.195; GCF_900761785.1, s__Bacteroides sp900761785, 95.0, 82.22, 0.275; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 82.2, 0.183; GCA_019412825.1, s__Bacteroides thetaiotaomicron_A, 95.0, 81.9, 0.174; GCA_948847595.1, s__Bacteroides sp948847595, 95.0, 81.66, 0.187; GCF_900106755.1, s__Bacteroides faecis, 95.0, 81.6, 0.173	51.55	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.25	79.89	6.9	2398793	30398	FALSE	142	43	18	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira rogosae	GCF_040096455.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae	99.22	0.847	GCF_040096455.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae	99.22	0.847	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	63.86	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.27	80.33	2.21	2790028	24366	FALSE	164	45	19	0	0	1	0	0	109	0	0	1	0	0	104	17	0	0	109	0	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella intestinihominis	GCF_000296465.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	98.54	0.921	GCF_000296465.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	98.54	0.921	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	60.72	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.28	89.18	9.49	1500293	131059	FALSE	23	33	19	1	1	1	1548	2884	117	1	1	1	1542	2880	112	20	1548	2884	117	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CALXVA01;s__CALXVA01 sp934121885	d__Bacteria	p__Bacillota	c__Clostridia	o__TANB77	f__CAG-508	g__CALXVA01	s__CALXVA01 sp934121885	GCA_934121885.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CALXVA01;s__CALXVA01 sp934121885	96.86	0.844	GCA_934121885.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CALXVA01;s__CALXVA01 sp934121885	96.86	0.844	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CALXVA01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902406115.1, s__CALXVA01 sp902406115, 95.0, 82.37, 0.191	80.26	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.32	61.21	3.58	1890513	25229	FALSE	102	34	18	1	1	1	1518	2972	115	1	1	1	1515	2962	107	18	1518	2972	115	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__QAMH01	g__QAMH01	s__	N/A	NA	N/A	NA	NA	GCA_003149935.1	95	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp003149935	94.84	0.667	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_025992705.1, s__QAMH01 sp025992705, 95.0, 93.06, 0.656; GCA_902475535.1, s__QAMH01 sp900556425, 96.26, 91.2, 0.622; GCA_900756605.1, s__QAMH01 sp900756605, 95.0, 90.95, 0.493; GCA_902493755.1, s__QAMH01 sp902493755, 95.0, 89.49, 0.48; GCA_902478425.1, s__QAMH01 sp902478425, 95.0, 85.49, 0.355; GCA_900544245.1, s__QAMH01 sp900544245, 95.0, 85.02, 0.341; GCA_949879855.1, s__QAMH01 sp949879855, 95.0, 84.96, 0.293; GCA_959608885.1, s__QAMH01 sp959608885, 95.0, 84.82, 0.359; GCA_948466335.1, s__QAMH01 sp948466335, 95.0, 84.23, 0.336	55.36	11	0.99911	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.35	81.29	3.54	2515261	58599	FALSE	60	55	20	3	3	1	1518	2830	111	3	3	1	1516	2826	105	21	1518	2830	111	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp900539695	GCA_025758045.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	97.92	0.864	GCA_025758045.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	97.92	0.864	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963655125.1, s__Gemmiger sp963655125, 95.0, 90.1, 0.643; GCA_963588145.1, s__Gemmiger sp963588145, 95.0, 89.18, 0.569; GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 87.83, 0.572; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 82.69, 0.216; GCF_900167555.1, s__Gemmiger formicilis, 95.0, 82.17, 0.193; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 82.09, 0.189; GCA_934529095.1, s__Gemmiger sp934529095, 95.18, 81.61, 0.181; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 81.4, 0.199; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 81.36, 0.161; GCF_934561205.1, s__Gemmiger sp934561205, 95.0, 80.84, 0.151; GCF_963931595.1, s__Gemmiger sp944388215, 95.0, 80.78, 0.154	58.14	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.36	84.37	8.19	1953122	10986	FALSE	221	32	16	1	1	1	1503	2751	115	1	1	1	1498	2737	110	15	1503	2751	115	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__51-20 sp001917175	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__51-20	s__51-20 sp001917175	GCA_001917175.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__51-20 sp001917175	98.59	0.733	GCA_001917175.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__51-20 sp001917175	98.59	0.733	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902489795.1, s__51-20 sp902489795, 95.07, 94.09, 0.692; GCA_902489675.1, s__51-20 sp902489675, 95.0, 83.47, 0.208; GCA_020025875.1, s__51-20 sp020025875, 95.0, 81.32, 0.205	65.73	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.37	66.3	3.76	2930658	26088	FALSE	157	46	20	0	0	1	0	0	117	0	0	1	0	0	110	20	0	0	117	0	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	d__Bacteria	p__Bacillota	c__Clostridia	o__Christensenellales	f__Aristaeellaceae	g__UBA11524	s__UBA11524 sp000437595	GCA_000437595.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	96.96	0.789	GCA_000437595.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	96.96	0.789	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	48.65	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.39	66.41	5.51	2391286	26089	FALSE	141	57	21	3	1	1	1531	2888	118	3	1	1	1527	2884	97	22	1531	2888	118	1	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea fessa	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Otoolea	s__Otoolea fessa	GCF_003024715.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea fessa	97.7	0.824	GCF_003024715.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea fessa	97.7	0.824	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	59.59	11	N/A	N/A	batch_9
NP-RASK00000048MP	NP-RASK00000048MP.bin.2.4	67.18	7.29	2604476	16578	FALSE	215	35	17	1	1	0	611	1163	0	1	1	0	608	1152	0	17	611	1163	0	0	MQ	NP-RASK00000048MP	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Jutongia;s__Jutongia sp003524945	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Jutongia	s__Jutongia sp003524945	GCF_003478445.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Jutongia;s__Jutongia sp003524945	98.35	0.857	GCF_003478445.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Jutongia;s__Jutongia sp003524945	98.35	0.857	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Jutongia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014384985.1, s__Jutongia huaianensis, 95.0, 82.84, 0.156; GCA_934339135.1, s__Jutongia sp934339135, 95.0, 82.26, 0.188; GCA_900759665.1, s__Jutongia sp900759665, 95.0, 82.19, 0.17; GCA_902788645.1, s__Jutongia sp902788645, 95.0, 82.01, 0.165	54.03	11	N/A	N/A	batch_9
