sample bin completeness_checkm2 contamination_checkm2 bakta_trna_all bakta_trna_uniq bakta_16s bakta_23s bakta_5s barrnap_16s barrnap_23s barrnap_5s custom_trna_uniq operon mimag
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.97 99.58 0.48 52 22 6 6 6 6 6 6 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.98 99.79 0.09 53 22 6 6 6 6 6 6 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.1.99 99.55 0.29 64 21 6 6 6 6 6 6 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.10 77.79 1.75 54 20 3 5 5 3 5 5 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.110 87.62 2.12 56 21 3 4 3 3 4 0 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.113 97.45 6.76 72 21 6 3 4 6 3 3 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.115 83.21 4.19 50 21 2 2 2 2 2 2 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.117 78.19 2 53 21 6 2 2 6 2 2 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.120 84.87 2.02 52 19 5 5 5 5 5 5 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.125 99.96 3.97 57 20 6 6 6 6 6 6 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.129 84.19 2.83 61 21 5 5 5 5 5 5 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.13 91.16 3.98 34 20 2 2 2 2 2 2 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.131 82.84 2.84 43 20 1 1 1 1 1 1 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.138 99.64 0.16 60 21 5 5 5 5 5 0 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.139 61.28 3.05 32 17 1 1 1 1 1 1 17 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.141 93.5 4.55 49 19 1 1 2 1 1 2 18 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.154 77.94 0.65 46 20 3 3 3 3 3 0 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.155 76.42 1.13 44 20 1 1 1 2 1 1 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.156 66.75 1.14 42 20 0 2 2 0 2 2 20 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.162 96.4 0.94 76 21 5 5 5 5 5 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.166 86.65 4.41 52 20 6 3 5 6 3 5 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.171 91.09 2.12 45 18 3 3 2 3 3 2 18 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.172 85.26 3.22 36 19 3 3 3 3 3 3 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.173 89.41 1.87 61 20 5 5 5 5 5 5 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.178 82.08 3.67 41 19 1 1 1 1 1 1 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.183 88.16 1.17 42 20 4 4 4 4 4 4 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.186 87.21 2.74 44 20 3 2 3 3 2 1 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.187 82.41 1.89 38 18 2 2 3 2 2 3 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.192 64.02 2.62 39 20 1 1 2 1 1 2 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.198 91.02 0.65 63 20 3 4 5 3 4 5 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.2 90.16 3.34 49 20 3 3 2 3 3 2 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.20 68.03 4.72 39 15 0 0 0 0 0 0 15 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.205 95.97 2.93 73 21 6 6 6 6 6 6 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.206 85.85 6.67 62 20 6 6 6 6 6 6 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.208 86.94 3.71 49 21 1 1 2 1 1 2 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.21 88.92 7.52 30 20 1 1 1 1 1 1 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.217 83.69 1.7 49 21 3 3 3 3 3 3 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.219 99.3 0.72 50 20 2 2 2 2 2 2 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.221 88 0.1 39 17 4 4 4 4 4 0 15 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.23 69.22 1.85 45 20 4 3 2 4 3 2 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.230 100 5.96 76 21 8 7 6 8 7 6 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.237 98.49 1.3 61 20 5 5 5 5 5 5 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.240 100 7.74 65 21 8 7 5 8 7 5 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.241 73.84 2.45 45 20 4 4 4 4 4 4 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.246 83.85 0.34 55 19 1 1 1 1 1 1 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.248 86.99 3.06 47 21 2 2 2 2 2 0 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.249 92.95 6.11 60 22 6 6 6 6 6 6 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.251 99.55 2.07 56 21 6 6 6 6 6 6 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.253 74.85 5.09 51 19 2 1 2 2 1 2 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.256 88.78 2.71 54 21 3 3 3 3 3 3 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.259 62.77 2.18 26 14 1 1 1 1 1 1 14 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.261 99.97 4.64 48 21 5 5 5 5 5 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.265 73.73 0.25 30 18 4 4 4 4 4 4 18 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.266 64.32 1.38 31 19 2 2 2 2 2 0 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.272 87.66 1.43 57 21 3 3 3 3 3 3 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.274 97.97 2.5 35 21 2 2 2 2 2 2 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.278 81.87 1.35 54 21 3 3 3 3 3 3 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.284 95.74 2.33 30 21 1 1 1 1 1 1 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.287 84.55 0.5 47 22 2 2 2 2 2 0 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.29 64.11 1.72 24 15 0 0 0 0 0 0 15 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.297 91.89 0.37 33 21 1 1 1 1 1 1 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.298 85.16 0 23 17 1 1 1 1 1 1 17 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.3 81.06 9.87 28 17 0 0 1 0 0 1 18 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.305 97.63 2.11 54 21 3 2 3 3 2 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.312 56.24 3.16 32 19 3 1 4 3 1 4 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.316 50.04 1.46 27 14 1 1 1 1 1 1 15 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.32 57.21 1.9 37 19 1 1 1 1 1 1 18 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.323 66.47 2.45 43 21 2 1 1 2 1 1 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.325 61.69 2.67 36 17 1 1 1 1 1 0 16 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.33 68.9 1.49 52 21 0 0 3 0 0 3 22 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.333 50.97 0.38 27 15 0 0 0 0 0 0 15 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.334 80.15 1.68 65 21 7 7 7 7 7 0 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.337 75.2 3.19 48 21 3 3 3 3 3 3 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.345 52.91 3.41 41 20 1 3 2 1 3 0 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.347 82.79 5.93 30 18 1 1 1 1 1 1 17 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.348 91.15 3.7 98 22 7 7 7 7 7 7 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.349 91.13 0.16 39 19 1 1 1 1 1 1 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.359 63.54 4.51 50 19 4 3 4 4 3 4 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.360 84.03 1.12 40 20 1 0 0 1 0 0 21 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.363 90.64 5.72 38 21 1 1 2 1 1 2 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.365 64.68 1.7 39 20 1 2 2 1 2 2 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.368 89.02 0.58 33 15 4 4 4 4 4 4 15 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.370 92.23 1.54 44 20 2 2 2 2 2 2 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.380 59.87 1.1 29 15 1 1 2 1 1 2 15 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.383 95.57 0.58 67 21 6 5 6 6 5 3 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.384 89.54 1.46 52 22 3 2 3 3 2 0 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.385 79.97 0.7 54 21 4 4 4 4 4 0 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.387 61.63 2.02 40 21 0 0 0 0 0 0 20 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.39 85.77 4.81 44 19 1 1 1 1 1 1 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.391 92.64 3.4 41 21 3 3 3 3 3 3 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.392 52.9 0.59 39 18 2 1 3 2 1 3 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.399 84.43 0.65 44 17 1 1 1 1 1 1 17 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.402 67.85 0.89 39 21 1 1 1 1 1 1 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.407 97.45 1.6 34 21 1 1 1 1 1 1 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.408 92.87 1.46 52 21 4 4 5 4 4 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.41 81.04 4.08 63 21 4 3 2 4 3 2 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.411 65.43 1.28 55 21 2 3 3 2 3 3 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.412 81.91 5.35 38 19 0 3 3 0 3 3 17 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.419 78.57 1.62 42 18 1 1 1 1 1 1 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.421 76.24 3.56 48 20 1 1 4 1 1 4 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.429 53.6 1.01 24 15 0 0 0 0 0 0 15 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.43 80.11 0.25 49 19 5 5 6 5 5 6 18 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.48 82.5 4.56 41 18 0 0 0 0 0 0 18 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.51 72.39 1.43 48 22 1 1 1 1 1 1 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.55 75.94 6.72 58 19 3 2 1 3 2 1 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.71 90.23 5.35 36 18 1 1 1 1 1 1 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.72 94.4 3.46 33 20 1 1 2 1 1 2 20 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.74 92.61 1.27 66 20 4 4 4 4 4 4 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.8 90.47 0.52 44 21 1 1 1 1 1 1 19 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.82 72.03 2.52 55 22 3 3 3 3 3 3 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.83 72.78 1.19 52 21 3 3 4 3 3 4 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.84 68.27 0.86 28 12 4 1 1 4 1 1 12 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.85 79.77 5.65 46 21 2 6 6 2 6 6 19 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.86 51.6 0.29 41 19 4 3 4 4 3 4 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.89 68.56 0.93 51 20 2 1 1 2 1 1 20 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.90 89.79 4.3 42 20 1 1 1 1 1 0 21 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.94 72.76 1.65 20 11 0 0 0 0 0 0 12 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.95 58.53 0.22 34 18 0 0 0 0 0 0 17 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.96 54.28 0.66 29 18 0 0 0 0 0 0 17 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.2.98 88.11 2.82 39 21 2 1 2 2 1 2 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.3.115 64.9 4.81 45 21 0 0 0 0 0 0 21 0 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.3.12 95.77 2.49 47 21 2 1 3 2 1 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.3.45 64.93 7.68 57 21 4 4 4 4 4 4 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.c.1 96.91 0.81 52 21 5 5 6 5 5 6 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.c.2 99.94 0.37 54 21 3 3 3 3 3 3 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.c.3 99.9 0.18 33 19 2 2 3 2 2 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.c.4 92.12 0.86 34 21 1 1 1 1 1 1 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.c.5 96.5 0.19 31 21 1 1 1 1 1 1 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.s.1 99.97 0.02 62 21 5 5 5 5 5 5 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.s.10 99.96 0 43 21 2 2 2 2 2 2 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.s.15 99.85 0.52 54 21 4 4 4 4 4 0 21 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.s.17 99.94 0.14 53 21 4 4 4 4 4 4 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.s.3 94.5 8.52 67 21 5 5 5 5 5 0 22 1 MQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.s.32 92.07 0.99 34 21 2 2 2 2 2 0 22 1 HQ
NP-DoBa00000058MP NP-DoBa00000058MP.bin.s.34 96 3.52 32 19 2 2 2 2 2 2 22 1 HQ
