run_accession	study_accession	sample_accession	tax_id	scientific_name	library_name	fastq_ftp	submitted_ftp	sample_alias	sample_title
ERR15665957	PRJEB98069	SAMEA120295298	408170	human gut metagenome	PaOp00000047MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665957/PaOp00000047MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaOp00000047MP_HP	PaOp00000047MP
ERR15665958	PRJEB98069	SAMEA120295662	408170	human gut metagenome	PaPr00000147MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665958/PaPr00000147MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000147MP_HP	PaPr00000147MP
ERR15665961	PRJEB98069	SAMEA120295490	408170	human gut metagenome	PaOp00000065MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665961/PaOp00000065MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaOp00000065MP_HP	PaOp00000065MP
ERR15679367	PRJEB98069	SAMEA120295317	408170	human gut metagenome	FMTP00000007MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679367/FMTP00000007MP_R10.4.1_5kHz_NBD114.24.tar.gz	FMTP00000007MP_HP	FMTP00000007MP
ERR15679369	PRJEB98069	SAMEA120295651	408170	human gut metagenome	PaPr00000064MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679369/PaPr00000064MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000064MP_HP	PaPr00000064MP
ERR15679372	PRJEB98069	SAMEA120295212	408170	human gut metagenome	FMTP00000001MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679372/FMTP00000001MP_R10.4.1_5kHz_NBD114.24.tar.gz	FMTP00000001MP_HP	FMTP00000001MP
ERR15679373	PRJEB98069	SAMEA120295641	408170	human gut metagenome	PaPr00000001MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679373/PaPr00000001MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000001MP_HP	PaPr00000001MP
ERR15679374	PRJEB98069	SAMEA120295644	408170	human gut metagenome	PaPr00000022MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679374/PaPr00000022MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000022MP_HP	PaPr00000022MP
ERR15681466	PRJEB98069	SAMEA120295617	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/066/ERR15681466/ERR15681466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/066/ERR15681466/ERR15681466_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681466/UCPr00000022MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681466/UCPr00000022MP_R2_NonHuman_Combined.fastq.gz	UCPr00000022MP_HP	UCPr00000022MP
ERR15681469	PRJEB98069	SAMEA120295579	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/069/ERR15681469/ERR15681469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/069/ERR15681469/ERR15681469_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681469/RASK00000084MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681469/RASK00000084MP_R2_NonHuman_Combined.fastq.gz	RASK00000084MP_HP	RASK00000084MP
ERR15681470	PRJEB98069	SAMEA120295504	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/070/ERR15681470/ERR15681470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/070/ERR15681470/ERR15681470_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681470/RASK00000008MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681470/RASK00000008MP_R2_NonHuman_Combined.fastq.gz	RASK00000008MP_HP	RASK00000008MP
ERR15681471	PRJEB98069	SAMEA120295505	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/071/ERR15681471/ERR15681471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/071/ERR15681471/ERR15681471_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681471/RASK00000009MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681471/RASK00000009MP_R2_NonHuman_Combined.fastq.gz	RASK00000009MP_HP	RASK00000009MP
ERR15681473	PRJEB98069	SAMEA120295543	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15681473/ERR15681473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/073/ERR15681473/ERR15681473_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681473/RASK00000048MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681473/RASK00000048MP_R2_NonHuman_Combined.fastq.gz	RASK00000048MP_HP	RASK00000048MP
ERR15681476	PRJEB98069	SAMEA120295580	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/076/ERR15681476/ERR15681476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/076/ERR15681476/ERR15681476_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681476/RASK00000086MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681476/RASK00000086MP_R2_NonHuman_Combined.fastq.gz	RASK00000086MP_HP	RASK00000086MP
ERR15681477	PRJEB98069	SAMEA120295545	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/077/ERR15681477/ERR15681477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/077/ERR15681477/ERR15681477_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681477/RASK00000050MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681477/RASK00000050MP_R2_NonHuman_Combined.fastq.gz	RASK00000050MP_HP	RASK00000050MP
ERR15681480	PRJEB98069	SAMEA120295517	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/080/ERR15681480/ERR15681480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/080/ERR15681480/ERR15681480_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681480/RASK00000021MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681480/RASK00000021MP_R2_NonHuman_Combined.fastq.gz	RASK00000021MP_HP	RASK00000021MP
ERR15681482	PRJEB98069	SAMEA120295144	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/082/ERR15681482/ERR15681482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/082/ERR15681482/ERR15681482_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681482/DoSc00000010MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681482/DoSc00000010MP_R2_NonHuman_Combined.fastq.gz	DoSc00000010MP_HP	DoSc00000010MP
ERR15681483	PRJEB98069	SAMEA120295530	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/083/ERR15681483/ERR15681483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/083/ERR15681483/ERR15681483_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681483/RASK00000035MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681483/RASK00000035MP_R2_NonHuman_Combined.fastq.gz	RASK00000035MP_HP	RASK00000035MP
ERR15681484	PRJEB98069	SAMEA120295355	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/084/ERR15681484/ERR15681484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/084/ERR15681484/ERR15681484_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681484/PaPr00000138MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681484/PaPr00000138MP_R2_NonHuman_Combined.fastq.gz	PaPr00000138MP_HP	PaPr00000138MP
ERR15681485	PRJEB98069	SAMEA120295560	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/085/ERR15681485/ERR15681485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/085/ERR15681485/ERR15681485_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681485/RASK00000065MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681485/RASK00000065MP_R2_NonHuman_Combined.fastq.gz	RASK00000065MP_HP	RASK00000065MP
ERR15681487	PRJEB98069	SAMEA120295474	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/087/ERR15681487/ERR15681487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/087/ERR15681487/ERR15681487_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681487/PAPR00000260MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681487/PAPR00000260MP_R2_NonHuman_Combined.fastq.gz	PAPR00000260MP_HP	PAPR00000260MP
ERR15681489	PRJEB98069	SAMEA120295101	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/089/ERR15681489/ERR15681489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/089/ERR15681489/ERR15681489_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681489/ASYM00000031MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681489/ASYM00000031MP_R2_NonHuman_Combined.fastq.gz	ASYM00000031MP_HP	ASYM00000031MP
ERR15681491	PRJEB98069	SAMEA120295131	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/091/ERR15681491/ERR15681491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/091/ERR15681491/ERR15681491_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681491/DoSc00000004MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681491/DoSc00000004MP_R2_NonHuman_Combined.fastq.gz	DoSc00000004MP_HP	DoSc00000004MP
ERR15681509	PRJEB98069	SAMEA120295337	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/009/ERR15681509/ERR15681509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/009/ERR15681509/ERR15681509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681509/PaPr00000120MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681509/PaPr00000120MP_R2_NonHuman_Combined.fastq.gz	PaPr00000120MP_HP	PaPr00000120MP
ERR15681517	PRJEB98069	SAMEA120295475	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/017/ERR15681517/ERR15681517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/017/ERR15681517/ERR15681517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681517/PAPR00000261MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681517/PAPR00000261MP_R2_NonHuman_Combined.fastq.gz	PAPR00000261MP_HP	PAPR00000261MP
ERR15681518	PRJEB98069	SAMEA120295157	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/018/ERR15681518/ERR15681518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/018/ERR15681518/ERR15681518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681518/DoSc00000016MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681518/DoSc00000016MP_R2_NonHuman_Combined.fastq.gz	DoSc00000016MP_HP	DoSc00000016MP
ERR15681521	PRJEB98069	SAMEA120295273	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/021/ERR15681521/ERR15681521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/021/ERR15681521/ERR15681521_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681521/PaOp00000041MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681521/PaOp00000041MP_R2_NonHuman_Combined.fastq.gz	PaOp00000041MP_HP	PaOp00000041MP
ERR15681532	PRJEB98069	SAMEA120295121	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/032/ERR15681532/ERR15681532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/032/ERR15681532/ERR15681532_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681532/DoBa00000008MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681532/DoBa00000008MP_R2_NonHuman_Combined.fastq.gz	DoBa00000008MP_HP	DoBa00000008MP
ERR15681536	PRJEB98069	SAMEA120295457	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/036/ERR15681536/ERR15681536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/036/ERR15681536/ERR15681536_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681536/PAOP00000093MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681536/PAOP00000093MP_R2_NonHuman_Combined.fastq.gz	PAOP00000093MP_HP	PAOP00000093MP
ERR15681550	PRJEB98069	SAMEA120295529	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15681550/ERR15681550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15681550/ERR15681550_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681550/RASK00000034MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681550/RASK00000034MP_R2_NonHuman_Combined.fastq.gz	RASK00000034MP_HP	RASK00000034MP
ERR15681552	PRJEB98069	SAMEA120295508	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15681552/ERR15681552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15681552/ERR15681552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681552/RASK00000012MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681552/RASK00000012MP_R2_NonHuman_Combined.fastq.gz	RASK00000012MP_HP	RASK00000012MP
ERR15681557	PRJEB98069	SAMEA120295383	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15681557/ERR15681557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15681557/ERR15681557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681557/PaPr00000181MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681557/PaPr00000181MP_R2_NonHuman_Combined.fastq.gz	PaPr00000181MP_HP	PaPr00000181MP
ERR15681559	PRJEB98069	SAMEA120295565	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15681559/ERR15681559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15681559/ERR15681559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681559/RASK00000070MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681559/RASK00000070MP_R2_NonHuman_Combined.fastq.gz	RASK00000070MP_HP	RASK00000070MP
ERR15681560	PRJEB98069	SAMEA120295196	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15681560/ERR15681560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15681560/ERR15681560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681560/PaPr00000018MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681560/PaPr00000018MP_R2_NonHuman_Combined.fastq.gz	PaPr00000018MP_HP	PaPr00000018MP
ERR15681561	PRJEB98069	SAMEA120295341	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/061/ERR15681561/ERR15681561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/061/ERR15681561/ERR15681561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681561/PaPr00000132MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681561/PaPr00000132MP_R2_NonHuman_Combined.fastq.gz	PaPr00000132MP_HP	PaPr00000132MP
ERR15681563	PRJEB98069	SAMEA120295382	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/063/ERR15681563/ERR15681563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/063/ERR15681563/ERR15681563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681563/PaPr00000174MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681563/PaPr00000174MP_R2_NonHuman_Combined.fastq.gz	PaPr00000174MP_HP	PaPr00000174MP
ERR15664672	PRJEB98069	SAMEA120295676	408170	human gut metagenome	PaPr00000245MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664672/PaPr00000245MP.tar.gz	PaPr00000245MP_HP	PaPr00000245MP
ERR15681566	PRJEB98069	SAMEA120295458	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/066/ERR15681566/ERR15681566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/066/ERR15681566/ERR15681566_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681566/PAOP00000078MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681566/PAOP00000078MP_R2_NonHuman_Combined.fastq.gz	PAOP00000078MP_HP	PAOP00000078MP
ERR15664685	PRJEB98069	SAMEA120295647	408170	human gut metagenome	PaPr00000036MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664685/PaPr00000036MP.tar.gz	PaPr00000036MP_HP	PaPr00000036MP
ERR15664686	PRJEB98069	SAMEA120295432	408170	human gut metagenome	PAOP00000069MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664686/PAOP00000069MP.tar.gz	PAOP00000069MP_HP	PAOP00000069MP
ERR15664687	PRJEB98069	SAMEA120295449	408170	human gut metagenome	PAOP00000075MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15664687/PAOP00000075MP.tar.gz	PAOP00000075MP_HP	PAOP00000075MP
ERR15665949	PRJEB98069	SAMEA120295636	408170	human gut metagenome	PaNP00000006MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665949/PaNP00000006MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaNP00000006MP_HP	PaNP00000006MP
ERR15665952	PRJEB98069	SAMEA120295661	408170	human gut metagenome	PaPr00000146MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665952/PaPr00000146MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000146MP_HP	PaPr00000146MP
ERR15665955	PRJEB98069	SAMEA120295667	408170	human gut metagenome	PaPr00000200MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665955/PaPr00000200MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000200MP_HP	PaPr00000200MP
ERR15665956	PRJEB98069	SAMEA120295671	408170	human gut metagenome	PaPr00000223MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665956/PaPr00000223MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000223MP_HP	PaPr00000223MP
ERR15665959	PRJEB98069	SAMEA120295258	408170	human gut metagenome	PaOp00000025MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15665959/PaOp00000025MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaOp00000025MP_HP	PaOp00000025MP
ERR15681571	PRJEB98069	SAMEA120295533	408170	human gut metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/071/ERR15681571/ERR15681571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/071/ERR15681571/ERR15681571_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681571/RASK00000038MP_R1_NonHuman_Combined.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15681571/RASK00000038MP_R2_NonHuman_Combined.fastq.gz	RASK00000038MP_HP	RASK00000038MP
ERR15679361	PRJEB98069	SAMEA120295656	408170	human gut metagenome	PaPr00000108MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679361/PaPr00000108MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000108MP_HP	PaPr00000108MP
ERR15679362	PRJEB98069	SAMEA120295451	408170	human gut metagenome	PaOp00000062MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679362/PaOp00000062MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaOp00000062MP_HP	PaOp00000062MP
ERR15679363	PRJEB98069	SAMEA120295273	408170	human gut metagenome	PaOp00000041MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679363/PaOp00000041MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaOp00000041MP_HP	PaOp00000041MP
ERR15679364	PRJEB98069	SAMEA120295247	408170	human gut metagenome	FMTP00000002MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679364/FMTP00000002MP_R10.4.1_5kHz_NBD114.24.tar.gz	FMTP00000002MP_HP	FMTP00000002MP
ERR15679366	PRJEB98069	SAMEA120295650	408170	human gut metagenome	PaPr00000056MP_pod5_NBD24_5kHz_400bps		ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15679366/PaPr00000056MP_R10.4.1_5kHz_NBD114.24.tar.gz	PaPr00000056MP_HP	PaPr00000056MP
